model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,k,ci_width
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,0.4214,0.3802,0.4666,0.4,8.699,0.5,qwen,0,arc_challenge,0,50,2,0,0.16,50,0.0864
Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,0.704,0.649,0.7612,0.7,9.1761,1.5,qwen,0,arc_challenge,0,50,1,0,0.49,50,0.1122
Qwen/Qwen2.5-3B-Instruct,arc_challenge,0.7732,0.7074,0.8384,0.76,9.4771,3.0,qwen,0,arc_challenge,0,50,6,0,0.5776,50,0.131
Qwen/Qwen2.5-7B-Instruct,arc_challenge,0.8552,0.7892,0.9116,0.86,9.8451,7.0,qwen,0,arc_challenge,0,50,0,0,0.7396,50,0.1224
Qwen/Qwen2.5-14B-Instruct,arc_challenge,0.9258,0.8772,0.9668,0.92,10.1461,14.0,qwen,0,arc_challenge,0,50,0,0,0.8464,50,0.0896
Qwen/Qwen2.5-32B-Instruct,arc_challenge,0.9408,0.8976,0.9746,0.93,10.5051,32.0,qwen,0,arc_challenge,0,50,0,0,0.8649,50,0.077
Qwen/Qwen2.5-72B-Instruct-AWQ,arc_challenge,0.979,0.9608,0.993,0.96,10.8573,72.0,qwen,0,arc_challenge,1,50,9,0,0.9216,50,0.0322
meta-llama/Llama-3.2-1B-Instruct,hellaswag,0.3056,0.2608,0.3574,0.28,9.0,1.0,llama,1,hellaswag,0,50,5,0,0.0784,50,0.0966
meta-llama/Llama-3.2-3B-Instruct,hellaswag,0.5932,0.5252,0.6578,0.48,9.4771,3.0,llama,1,hellaswag,0,50,0,0,0.2304,50,0.1326
meta-llama/Llama-3.1-8B-Instruct,hellaswag,0.721,0.6574,0.779,0.75,9.9031,8.0,llama,1,hellaswag,0,50,2,0,0.5625,50,0.1216
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,hellaswag,0.869,0.8156,0.9194,0.82,10.8451,70.0,llama,1,hellaswag,1,50,0,0,0.6724,50,0.1038
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,0.3474,0.315,0.3852,0.34,8.699,0.5,qwen,0,hellaswag,0,50,7,0,0.1156,50,0.0702
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,0.6122,0.5532,0.6634,0.59,9.1761,1.5,qwen,0,hellaswag,0,50,0,0,0.3481,50,0.1102
Qwen/Qwen2.5-3B-Instruct,hellaswag,0.7558,0.6938,0.8134,0.74,9.4771,3.0,qwen,0,hellaswag,0,50,8,0,0.5476,50,0.1196
Qwen/Qwen2.5-7B-Instruct,hellaswag,0.8074,0.752,0.859,0.82,9.8451,7.0,qwen,0,hellaswag,0,50,0,0,0.6724,50,0.107
Qwen/Qwen2.5-14B-Instruct,hellaswag,0.8872,0.8354,0.933,0.92,10.1461,14.0,qwen,0,hellaswag,0,50,0,0,0.8464,50,0.0976
Qwen/Qwen2.5-32B-Instruct,hellaswag,0.928,0.882,0.9684,0.95,10.5051,32.0,qwen,0,hellaswag,0,50,0,0,0.9025,50,0.0864
Qwen/Qwen2.5-72B-Instruct-AWQ,hellaswag,0.9404,0.905,0.9714,0.89,10.8573,72.0,qwen,0,hellaswag,1,50,0,0,0.7921,50,0.0664
